Entity,Code,Year,Palma ratio (Pretax) (Estimated)
Afghanistan,AFG,2008,3.052906
Afghanistan,AFG,2012,2.5358338
Afghanistan,AFG,2017,2.853211
Afghanistan,AFG,2022,2.8670437
Afghanistan,AFG,2023,2.8359156
Africa (WID),,1980,13.300459
Africa (WID),,1981,12.954751
Africa (WID),,1982,13.096109
Africa (WID),,1983,13.399538
Africa (WID),,1984,13.259259
Africa (WID),,1985,13.535378
Africa (WID),,1986,12.843891
Africa (WID),,1987,12.437086
Africa (WID),,1988,12.675675
Africa (WID),,1989,12.652467
Africa (WID),,1990,12.454545
Africa (WID),,1991,12.706278
Africa (WID),,1992,12.789116
Africa (WID),,1993,12.319384
Africa (WID),,1994,12.831819
Africa (WID),,1995,12.761905
Africa (WID),,1996,12.30719
Africa (WID),,1997,12.218884
Africa (WID),,1998,11.778468
Africa (WID),,1999,11.534274
Africa (WID),,2000,11.686992
Africa (WID),,2001,11.574596
Africa (WID),,2002,11.568548
Africa (WID),,2003,11.453094
Africa (WID),,2004,11.26378
Africa (WID),,2005,11.04845
Africa (WID),,2006,11.071428
Africa (WID),,2007,10.938931
Africa (WID),,2008,10.664151
Africa (WID),,2009,10.32282
Africa (WID),,2010,10.206642
Africa (WID),,2011,9.8918915
Africa (WID),,2012,10.125227
Africa (WID),,2013,10.119565
Africa (WID),,2014,9.814487
Africa (WID),,2015,9.791887
Africa (WID),,2016,9.777778
Africa (WID),,2017,9.565972
Africa (WID),,2018,9.451115
Africa (WID),,2019,9.310696
Africa (WID),,2020,9.237288
Africa (WID),,2021,9.4965515
Africa (WID),,2022,9.4827585
Africa (WID),,2023,9.6160555
Albania,ALB,1996,2.5901375
Albania,ALB,2002,2.7886248
Albania,ALB,2005,2.6532125
Albania,ALB,2008,2.5504
Albania,ALB,2012,2.612
Albania,ALB,2015,3.1423519
Albania,ALB,2016,3.098579
Albania,ALB,2017,3.1075556
Albania,ALB,2018,3.0833333
Albania,ALB,2022,2.9973707
